id,name,members,issolo,id_parentgroup,formation,disband,kname,social,alias,id_debut,debut_actual_date,miak,miak_level,sales,gaon_obs,releases,views,releasesm
1,100%,male,n,0,2012,NULL,백퍼센트,"W=www.100per.kr,T=TOP_100PERCENT,V=ED9233,VS=282,I=100pergram,F=Official100percent,K=100%25_(band)","백퍼센트 V",1725,NULL,0,none,107652,,"a:9:{s:17:"WE, 100% (SINGLE)";a:2:{s:7:"2012-09";i:2141;s:7:"2012-10";i:3939;}s:9:"REAL 100%";a:2:{s:7:"2013-05";i:6309;s:7:"2013-06";i:3474;}s:6:"100% V";a:2:{s:7:"2013-11";i:3191;s:7:"2013-12";i:1313;}s:13:"BANG THE BUSH";a:3:{s:7:"2014-03";i:7400;s:7:"2014-04";i:2944;s:7:"2014-05";i:1571;}s:25:"COOL SUMMER ALBUM SUNKISS";a:1:{s:7:"2014-07";i:8285;}s:9:"TIME LEAP";a:1:{s:7:"2016-10";i:14576;}s:10:"SKETCHBOOK";a:2:{s:7:"2017-02";i:11974;s:7:"2017-03";i:1287;}s:8:"SUNSHINE";a:2:{s:7:"2018-09";i:14334;s:7:"2018-11";i:2822;}s:20:"미니 6집 [RE:TRO]";a:2:{s:7:"2019-03";i:19800;s:7:"2019-04";i:2292;}}",1028,"a:17:{s:7:"2012-09";i:2141;s:7:"2012-10";i:3939;s:7:"2013-05";i:6309;s:7:"2013-06";i:3474;s:7:"2013-11";i:3191;s:7:"2013-12";i:1313;s:7:"2014-03";i:7400;s:7:"2014-04";i:2944;s:7:"2014-05";i:1571;s:7:"2014-07";i:8285;s:7:"2016-10";i:14576;s:7:"2017-02";i:11974;s:7:"2017-03";i:1287;s:7:"2018-09";i:14334;s:7:"2018-11";i:2822;s:7:"2019-03";i:19800;s:7:"2019-04";i:2292;}"
2,24K,male,n,0,2012,NULL,투포케이,"W=cafe.daum.net/official24K,T=24K__OFFICIAL,V=EA429D,VS=355,I=24k__official,K=24K_(band)",NULL,1736,NULL,0,none,10083,,"a:6:{s:9:"빨리와";a:1:{s:7:"2012-09";i:1541;}s:18:"귀여워죽겠어";a:1:{s:7:"2013-08";i:1042;}s:9:"날라리";a:2:{s:7:"2015-10";i:972;s:7:"2015-11";i:902;}s:12:"THE REAL ONE";a:3:{s:7:"2016-10";i:688;s:7:"2016-11";i:1165;s:7:"2016-12";i:655;}s:9:"ADDICTION";a:2:{s:7:"2017-05";i:1161;s:7:"2017-06";i:976;}s:14:"BONNIE N CLYDE";a:1:{s:7:"2018-06";i:981;}}",3004,"a:10:{s:7:"2012-09";i:1541;s:7:"2013-08";i:1042;s:7:"2015-10";i:972;s:7:"2015-11";i:902;s:7:"2016-10";i:688;s:7:"2016-11";i:1165;s:7:"2016-12";i:655;s:7:"2017-05";i:1161;s:7:"2017-06";i:976;s:7:"2018-06";i:981;}"
3,2AM,male,n,0,2008,2014,투에이엠,"K=2AM_(band),F=2amofficial,T=follow2am",NULL,NULL,NULL,143134,none,251457,,"a:9:{s:13:"SAINT O`CLOCK";a:6:{s:7:"2011-01";i:1886;s:7:"2011-02";i:916;s:7:"2011-03";i:1095;s:7:"2011-04";i:842;s:7:"2011-06";i:830;s:7:"2011-11";i:3546;}s:12:"잘못했어";a:6:{s:7:"2011-01";i:956;s:7:"2011-02";i:2244;s:7:"2011-03";i:667;s:7:"2011-04";i:669;s:7:"2011-10";i:1748;s:7:"2011-11";i:1780;}s:33:"MINI ALBUM `죽어도 못 보내`";a:1:{s:7:"2011-01";i:836;}s:32:"F.SCOTT FITZGERALD'S WAY OF LOVE";a:5:{s:7:"2012-03";i:27875;s:7:"2012-04";i:1559;s:7:"2012-05";i:858;i:2012;i:32553;s:7:"2013-03";i:640;}s:36:"2AM/F.SCOTT FITZGERALD'S WAY OF LOVE";a:1:{s:7:"2012-05";i:1000;}s:10:"I`M DA ONE";a:3:{s:7:"2012-06";i:16009;s:7:"2012-07";i:2490;i:2012;i:17547;}s:13:"어느 봄날";a:3:{s:7:"2013-03";i:19197;s:7:"2013-04";i:1141;i:2013;i:21737;}s:8:"NOCTURNE";a:2:{s:7:"2013-11";i:7123;s:7:"2013-12";i:1423;}s:10:"LET'S TALK";a:2:{s:7:"2014-10";i:6590;s:7:"2014-11";i:1695;}}",3563,"a:18:{s:7:"2011-01";i:3678;s:7:"2011-02";i:3160;s:7:"2011-03";i:1762;s:7:"2011-04";i:1511;s:7:"2011-06";i:830;s:7:"2011-11";i:5326;s:7:"2011-10";i:1748;s:7:"2012-03";i:27875;s:7:"2012-04";i:1559;s:7:"2012-05";i:1858;s:7:"2013-03";i:19837;s:7:"2012-06";i:16009;s:7:"2012-07";i:2490;s:7:"2013-04";i:1141;s:7:"2013-11";i:7123;s:7:"2013-12";i:1423;s:7:"2014-10";i:6590;s:7:"2014-11";i:1695;}"
4,2NE1,female,n,0,2009,2017,투애니원,"K=2NE1,F=2NE1,T=ygladies,I=2ne1official",NULL,903,NULL,430131,none,681461,,"a:7:{s:14:"1집 TO ANYONE";a:17:{s:7:"2011-01";i:4625;s:7:"2011-02";i:4442;s:7:"2011-03";i:4109;s:7:"2011-04";i:1408;s:7:"2011-05";i:2110;s:7:"2011-06";i:755;s:7:"2011-08";i:1296;s:7:"2011-09";i:8477;s:7:"2011-10";i:1197;s:7:"2011-11";i:1218;s:7:"2011-12";i:1165;i:2011;i:31362;s:7:"2012-01";i:1426;s:7:"2012-02";i:852;s:7:"2012-03";i:996;s:7:"2012-04";i:869;s:7:"2012-06";i:614;}s:19:"2NE1 1ST MINI ALBUM";a:6:{s:7:"2011-01";i:1516;s:7:"2011-02";i:1064;s:7:"2011-03";i:1236;s:7:"2011-07";i:1064;s:7:"2011-08";i:1700;s:7:"2011-11";i:1127;}s:19:"2NE1 2ND MINI ALBUM";a:21:{s:7:"2011-07";i:54900;s:7:"2011-08";i:9895;s:7:"2011-09";i:9146;s:7:"2011-10";i:5640;s:7:"2011-11";i:3297;s:7:"2011-12";i:3381;i:2011;i:85819;s:7:"2012-01";i:3634;s:7:"2012-02";i:2454;s:7:"2012-04";i:2718;s:7:"2012-05";i:1023;s:7:"2012-06";i:1561;s:7:"2012-07";i:1480;s:7:"2012-08";i:1154;s:7:"2012-09";i:892;s:7:"2012-10";i:1182;s:7:"2012-11";i:647;s:7:"2012-12";i:1075;i:2012;i:18416;s:7:"2013-08";i:994;s:7:"2014-03";i:493;}s:31:"NOLZA! (1ST LIVE CONCERT ALBUM)";a:7:{s:7:"2011-11";i:13340;s:7:"2011-12";i:1149;s:7:"2012-01";i:1621;s:7:"2012-02";i:1036;s:7:"2012-03";i:797;s:7:"2012-10";i:1025;s:7:"2012-12";i:1281;}s:51:"2012 2NE1 GLOBAL TOUR LIVE : NEW EVOLUTION IN SEOUL";a:1:{s:7:"2012-12";i:8900;}s:22:"2NE1 NEW ALBUM `CRUSH`";a:12:{s:7:"2014-03";i:56512;s:7:"2014-04";i:2739;s:7:"2014-05";i:1697;s:7:"2014-06";i:1184;s:7:"2014-07";i:1262;s:7:"2014-08";i:796;s:7:"2014-11";i:568;s:7:"2014-12";i:598;i:2014;i:66004;s:7:"2015-01";i:506;s:7:"2015-05";i:568;s:7:"2016-12";i:557;}s:46:"2014 WORLD TOUR LIVE 'ALL OR NOTHING IN SEOUL'";a:2:{s:7:"2014-05";i:4089;s:7:"2014-06";i:909;}}",313836,"a:36:{s:7:"2011-01";i:6141;s:7:"2011-02";i:5506;s:7:"2011-03";i:5345;s:7:"2011-04";i:1408;s:7:"2011-05";i:2110;s:7:"2011-06";i:755;s:7:"2011-08";i:12891;s:7:"2011-09";i:17623;s:7:"2011-10";i:6837;s:7:"2011-11";i:18982;s:7:"2011-12";i:5695;s:7:"2012-01";i:6681;s:7:"2012-02";i:4342;s:7:"2012-03";i:1793;s:7:"2012-04";i:3587;s:7:"2012-06";i:2175;s:7:"2011-07";i:55964;s:7:"2012-05";i:1023;s:7:"2012-07";i:1480;s:7:"2012-08";i:1154;s:7:"2012-09";i:892;s:7:"2012-10";i:2207;s:7:"2012-11";i:647;s:7:"2012-12";i:11256;s:7:"2013-08";i:994;s:7:"2014-03";i:57005;s:7:"2014-04";i:2739;s:7:"2014-05";i:5786;s:7:"2014-06";i:2093;s:7:"2014-07";i:1262;s:7:"2014-08";i:796;s:7:"2014-11";i:568;s:7:"2014-12";i:598;s:7:"2015-01";i:506;s:7:"2015-05";i:568;s:7:"2016-12";i:557;}"
5,2PM,male,n,0,2008,NULL,투피엠,"W=2pm.jype.com,T=follow_2pm,F=2pm.jype,V=EF7F,VS=4,I=real_2pmstagram",NULL,2638,NULL,229860,none,818969,,"a:17:{s:11:"1집 1:59PM";a:7:{s:7:"2011-01";i:2847;s:7:"2011-03";i:670;s:7:"2011-06";i:852;s:7:"2011-10";i:1130;s:7:"2011-11";i:2847;s:7:"2011-12";i:953;s:7:"2012-01";i:1139;}s:17:"STILL 2:00PM (EP)";a:9:{s:7:"2011-01";i:2267;s:7:"2011-02";i:1323;s:7:"2011-03";i:1223;s:7:"2011-04";i:1061;s:7:"2011-05";i:1161;s:7:"2011-06";i:1244;s:7:"2011-09";i:1293;s:7:"2011-10";i:4139;s:7:"2011-11";i:2757;}s:32:"3RD SINGLE DON`T STOP CAN`T STOP";a:3:{s:7:"2011-01";i:1366;s:7:"2011-02";i:3519;s:7:"2011-11";i:1366;}s:8:"HANDS UP";a:17:{s:7:"2011-06";i:67819;s:7:"2011-07";i:15132;s:7:"2011-08";i:6002;s:7:"2011-09";i:3979;s:7:"2011-10";i:3121;s:7:"2011-11";i:1813;s:7:"2011-12";i:2562;i:2011;i:100379;s:7:"2012-01";i:2121;s:7:"2012-02";i:1166;s:7:"2012-03";i:1778;s:7:"2012-04";i:3232;s:7:"2012-05";i:1030;s:7:"2012-06";i:1611;s:7:"2012-07";i:987;s:7:"2012-08";i:713;s:7:"2012-11";i:674;}s:7:"TIK TOK";a:1:{s:7:"2012-04";i:803;}s:23:"HOTTEST TIME OF THE DAY";a:1:{s:7:"2012-04";i:782;}s:38:"베스트앨범 2PM MEMBER'S SELECTION";a:2:{s:7:"2012-05";i:20000;i:2012;i:21183;}s:16:"23, MALE, SINGLE";a:4:{s:7:"2012-07";i:47956;s:7:"2012-08";i:8427;s:7:"2012-09";i:7132;i:2012;i:68462;}s:13:"2집 HANDS UP";a:1:{s:7:"2013-03";i:829;}s:10:"3집 GROWN";a:6:{s:7:"2013-05";i:109389;s:7:"2013-06";i:4639;s:7:"2013-07";i:1257;s:7:"2013-08";i:959;i:2013;i:116278;s:7:"2014-05";i:498;}s:21:"GROWN (GRAND EDITION)";a:5:{s:7:"2013-06";i:17351;s:7:"2013-07";i:2932;s:7:"2013-08";i:1957;s:7:"2013-09";i:557;i:2013;i:23336;}s:20:"미친거 아니야?";a:3:{s:7:"2014-09";i:51919;s:7:"2014-10";i:1392;i:2014;i:52840;}s:36:"미친거 아니야? (GRAND EDITION)";a:2:{s:7:"2014-09";i:20000;i:2014;i:19975;}s:4:"NO.5";a:6:{s:7:"2015-06";i:57426;s:7:"2015-07";i:3315;s:7:"2015-08";i:555;s:7:"2015-09";i:424;s:7:"2015-10";i:595;i:2015;i:62618;}s:16:"GENTLEMEN`S GAME";a:3:{s:7:"2016-09";i:58695;s:7:"2016-10";i:10983;i:2016;i:68652;}s:26:"GENTLEMEN'S GAME (LP VER.)";a:1:{s:7:"2017-02";i:1653;}s:2:"ME";a:1:{s:7:"2019-02";i:4352;}}",101279,"a:40:{s:7:"2011-01";i:6480;s:7:"2011-03";i:1893;s:7:"2011-06";i:69915;s:7:"2011-10";i:8390;s:7:"2011-11";i:8783;s:7:"2011-12";i:3515;s:7:"2012-01";i:3260;s:7:"2011-02";i:4842;s:7:"2011-04";i:1061;s:7:"2011-05";i:1161;s:7:"2011-09";i:5272;s:7:"2011-07";i:15132;s:7:"2011-08";i:6002;s:7:"2012-02";i:1166;s:7:"2012-03";i:1778;s:7:"2012-04";i:4817;s:7:"2012-05";i:21030;s:7:"2012-06";i:1611;s:7:"2012-07";i:48943;s:7:"2012-08";i:9140;s:7:"2012-11";i:674;s:7:"2012-09";i:7132;s:7:"2013-03";i:829;s:7:"2013-05";i:109389;s:7:"2013-06";i:21990;s:7:"2013-07";i:4189;s:7:"2013-08";i:2916;s:7:"2014-05";i:498;s:7:"2013-09";i:557;s:7:"2014-09";i:71919;s:7:"2014-10";i:1392;s:7:"2015-06";i:57426;s:7:"2015-07";i:3315;s:7:"2015-08";i:555;s:7:"2015-09";i:424;s:7:"2015-10";i:595;s:7:"2016-09";i:58695;s:7:"2016-10";i:10983;s:7:"2017-02";i:1653;s:7:"2019-02";i:4352;}"
6,2YOON,female,n,7,2013,2013,투윤,NULL,NULL,1172,NULL,0,none,5895,,"a:1:{s:12:"HARVEST MOON";a:2:{s:7:"2013-01";i:5372;s:7:"2013-02";i:523;}}",109,"a:2:{s:7:"2013-01";i:5372;s:7:"2013-02";i:523;}"
7,4Minute,female,n,0,2009,2016,포미닛,"K=4Minute,F=4minute.unitedcube,W=4min.co.kr,I=4minute4nia_",NULL,NULL,NULL,52160,none,205867,,"a:7:{s:13:"4MINUTES LEFT";a:8:{s:7:"2011-04";i:24379;s:7:"2011-05";i:3206;s:7:"2011-06";i:1965;s:7:"2011-07";i:1646;s:7:"2011-09";i:1050;i:2011;i:34004;s:7:"2012-02";i:2280;s:7:"2012-04";i:924;}s:31:"2ND MINI ALBUM `HIT YOUR HEART`";a:1:{s:7:"2011-04";i:2891;}s:9:"VOLUME UP";a:4:{s:7:"2012-04";i:42060;s:7:"2012-05";i:11964;i:2012;i:56174;s:7:"2013-03";i:835;}s:15:"NAME IS 4MINUTE";a:5:{s:7:"2013-04";i:10847;s:7:"2013-05";i:2661;s:7:"2013-06";i:639;s:7:"2013-07";i:705;i:2013;i:15620;}s:13:"4MINUTE WORLD";a:2:{s:7:"2014-03";i:8810;s:7:"2014-04";i:2421;}s:5:"CRAZY";a:5:{s:7:"2015-02";i:17325;s:7:"2015-03";i:2526;s:7:"2015-04";i:692;s:7:"2015-05";i:402;i:2015;i:22102;}s:6:"ACT. 7";a:1:{s:7:"2016-02";i:7646;}}",138235,"a:20:{s:7:"2011-04";i:27270;s:7:"2011-05";i:3206;s:7:"2011-06";i:1965;s:7:"2011-07";i:1646;s:7:"2011-09";i:1050;s:7:"2012-02";i:2280;s:7:"2012-04";i:42984;s:7:"2012-05";i:11964;s:7:"2013-03";i:835;s:7:"2013-04";i:10847;s:7:"2013-05";i:2661;s:7:"2013-06";i:639;s:7:"2013-07";i:705;s:7:"2014-03";i:8810;s:7:"2014-04";i:2421;s:7:"2015-02";i:17325;s:7:"2015-03";i:2526;s:7:"2015-04";i:692;s:7:"2015-05";i:402;s:7:"2016-02";i:7646;}"
8,"F-ve dolls",female,n,0,2011,2015,파이브돌스,"K=F-ve_Dolls,",5dolls,NULL,NULL,0,none,7177,,"a:3:{s:24:"CHARMING FIVE GIRLS (EP)";a:1:{s:7:"2011-02";i:2351;}s:46:"CLUB REMIX ALBUM : TIME TO PLAY (리패키지)";a:1:{s:7:"2011-05";i:2442;}s:10:"FIRST LOVE";a:1:{s:7:"2013-09";i:2384;}}",804,"a:3:{s:7:"2011-02";i:2351;s:7:"2011-05";i:2442;s:7:"2013-09";i:2384;}"
9,9Muses,female,n,0,2010,2019,나인뮤지스,"W=9muses.co.kr,T=9muses_,F=9musesofficial,K=Nine_Muses_(band),V=E962B9,VS=349,I=official_ninemuses","나인 뮤지스",944,NULL,1052,none,55301,,"a:9:{s:33:"SWEET RENDEZVOUS (1ST MINI ALBUM)";a:1:{s:7:"2012-03";i:3878;}s:5:"DOLLS";a:3:{s:7:"2013-01";i:2312;s:7:"2013-02";i:560;s:7:"2013-03";i:661;}s:4:"WILD";a:2:{s:7:"2013-05";i:4148;s:7:"2013-06";i:1485;}s:11:"PRIMA DONNA";a:1:{s:7:"2013-10";i:6594;}s:5:"DRAMA";a:3:{s:7:"2015-01";i:4661;s:7:"2015-02";i:1785;s:7:"2015-03";i:1521;}s:18:"9MUSES S/S EDITION";a:1:{s:7:"2015-07";i:7054;}s:4:"LOST";a:2:{s:7:"2015-11";i:5246;s:7:"2015-12";i:1693;}s:29:"MUSES DIARY PART.2 : IDENTITY";a:2:{s:7:"2017-06";i:7408;s:7:"2017-07";i:684;}s:30:"MUSES DIARY PART.3 : LOVE CITY";a:1:{s:7:"2017-08";i:4559;}}",17379,"a:16:{s:7:"2012-03";i:3878;s:7:"2013-01";i:2312;s:7:"2013-02";i:560;s:7:"2013-03";i:661;s:7:"2013-05";i:4148;s:7:"2013-06";i:1485;s:7:"2013-10";i:6594;s:7:"2015-01";i:4661;s:7:"2015-02";i:1785;s:7:"2015-03";i:1521;s:7:"2015-07";i:7054;s:7:"2015-11";i:5246;s:7:"2015-12";i:1693;s:7:"2017-06";i:7408;s:7:"2017-07";i:684;s:7:"2017-08";i:4559;}"
10,"9Muses A",female,n,9,2016,2019,나인뮤지스A,NULL,NULL,1694,NULL,0,none,8484,,"a:1:{s:11:"MUSES DIARY";a:1:{s:7:"2016-08";i:8484;}}",1054,"a:1:{s:7:"2016-08";i:8484;}"
11,"After School",female,n,0,2009,0,애프터스쿨,"W=www.pledis.co.kr/html/artist/afterschool,F=pledisAS,T=pledisnews,K=After_School_(band)","애프터스쿨 BLUE;애프터스쿨 RED",NULL,NULL,55914,none,117217,,"a:5:{s:27:"1ST SINGLE `NEW SCHOOLGIRL`";a:1:{s:7:"2011-01";i:819;}s:13:"너 때문에";a:1:{s:7:"2011-01";i:817;}s:11:"1집 VIRGIN";a:9:{s:7:"2011-04";i:9984;s:7:"2011-05";i:6422;s:7:"2011-06";i:3310;s:7:"2011-08";i:2700;s:7:"2011-09";i:1957;s:7:"2011-10";i:1891;i:2011;i:26418;s:7:"2012-01";i:1718;s:7:"2012-06";i:1974;}s:22:"맥시싱글 FLASHBACK";a:3:{s:7:"2012-06";i:14197;s:7:"2012-07";i:1911;i:2012;i:16885;}s:9:"첫사랑";a:2:{s:7:"2013-06";i:10833;s:7:"2013-07";i:1839;}}",17134,"a:12:{s:7:"2011-01";i:1636;s:7:"2011-04";i:9984;s:7:"2011-05";i:6422;s:7:"2011-06";i:3310;s:7:"2011-08";i:2700;s:7:"2011-09";i:1957;s:7:"2011-10";i:1891;s:7:"2012-01";i:1718;s:7:"2012-06";i:16171;s:7:"2012-07";i:1911;s:7:"2013-06";i:10833;s:7:"2013-07";i:1839;}"
12,"Agust D",male,y,40,2016,NULL,민윤기,"I=btssugaaa,K=Suga_(rapper)",NULL,NULL,NULL,0,none,0,,NULL,807456,a:0:{}
13,Ailee,female,y,0,2011,NULL,에일리,"K=Ailee,T=itzailee,V=FC855,VS=43,I=aileeonline",NULL,635,NULL,0,none,41838,,"a:8:{s:10:"INVITATION";a:7:{s:7:"2012-10";i:3585;s:7:"2012-11";i:2337;s:7:"2012-12";i:1845;s:7:"2013-01";i:1479;s:7:"2013-02";i:814;s:7:"2013-11";i:583;s:7:"2014-01";i:420;}s:36:"에일리 미니 1집/INVITATION(CD)";a:2:{s:7:"2012-11";i:1852;s:7:"2012-12";i:664;}s:57:"HITMAN PROJECT #1 : A TRIBUTE TO THE HITMAN, DAVID FOSTER";a:1:{s:7:"2012-12";i:1000;}s:14:"A'S DOLL HOUSE";a:6:{s:7:"2013-07";i:5812;s:7:"2013-08";i:1829;s:7:"2013-09";i:1151;s:7:"2013-10";i:755;s:7:"2013-11";i:696;s:7:"2014-01";i:677;}s:8:"MAGAZINE";a:3:{s:7:"2014-09";i:2760;s:7:"2014-10";i:2735;s:7:"2014-11";i:756;}s:5:"VIVID";a:3:{s:7:"2015-09";i:2905;s:7:"2015-10";i:1649;s:7:"2015-12";i:476;}s:12:"A NEW EMPIRE";a:1:{s:7:"2016-10";i:2478;}s:9:"BUTTERFLY";a:1:{s:7:"2019-07";i:2580;}}",85731,"a:19:{s:7:"2012-10";i:3585;s:7:"2012-11";i:4189;s:7:"2012-12";i:3509;s:7:"2013-01";i:1479;s:7:"2013-02";i:814;s:7:"2013-11";i:1279;s:7:"2014-01";i:1097;s:7:"2013-07";i:5812;s:7:"2013-08";i:1829;s:7:"2013-09";i:1151;s:7:"2013-10";i:755;s:7:"2014-09";i:2760;s:7:"2014-10";i:2735;s:7:"2014-11";i:756;s:7:"2015-09";i:2905;s:7:"2015-10";i:1649;s:7:"2015-12";i:476;s:7:"2016-10";i:2478;s:7:"2019-07";i:2580;}"
14,Akmu,coed,n,0,2012,NULL,악동뮤지션,"K=Akdong_Musician,F=officialAKMU,W=www.yg-akmu.com,V=F36179,VS=189,I=akmu_suhyun",NULL,1583,NULL,0,none,70464,,"a:5:{s:4:"PLAY";a:16:{s:7:"2014-04";i:19021;s:7:"2014-05";i:6172;s:7:"2014-06";i:3702;s:7:"2014-07";i:1925;s:7:"2014-08";i:1348;s:7:"2014-09";i:814;s:7:"2014-10";i:768;s:7:"2014-11";i:1070;s:7:"2014-12";i:856;i:2014;i:35583;s:7:"2015-01";i:563;s:7:"2015-02";i:456;s:7:"2015-03";i:500;s:7:"2015-04";i:454;s:7:"2015-06";i:260;s:7:"2016-05";i:532;}s:12:"콩떡빙수";a:1:{s:7:"2015-08";i:930;}s:29:"사춘기 상 (思春記 上)";a:3:{s:7:"2016-05";i:10169;s:7:"2016-06";i:1003;s:7:"2017-01";i:693;}s:29:"사춘기 하 (思春記 下)";a:3:{s:7:"2017-01";i:7250;s:7:"2017-02";i:1045;s:7:"2017-04";i:495;}s:26:"AKMU 3RD FULL ALBUM 항해";a:2:{s:7:"2019-09";i:7349;s:7:"2019-10";i:3182;}}",133977,"a:22:{s:7:"2014-04";i:19021;s:7:"2014-05";i:6172;s:7:"2014-06";i:3702;s:7:"2014-07";i:1925;s:7:"2014-08";i:1348;s:7:"2014-09";i:814;s:7:"2014-10";i:768;s:7:"2014-11";i:1070;s:7:"2014-12";i:856;s:7:"2015-01";i:563;s:7:"2015-02";i:456;s:7:"2015-03";i:500;s:7:"2015-04";i:454;s:7:"2015-06";i:260;s:7:"2016-05";i:10701;s:7:"2015-08";i:930;s:7:"2016-06";i:1003;s:7:"2017-01";i:7943;s:7:"2017-02";i:1045;s:7:"2017-04";i:495;s:7:"2019-09";i:7349;s:7:"2019-10";i:3182;}"
15,Amber,female,y,65,2015,NULL,엠버,"K=Amber_Liu_(singer),T=llama_ajol,I=ajol_llama",NULL,1500,NULL,0,none,15099,,"a:1:{s:30:"THE 1ST MINI ALBUM `BEAUTIFUL`";a:2:{s:7:"2015-02";i:15620;i:2015;i:15099;}}",12669,"a:1:{s:7:"2015-02";i:15620;}"
16,AOA,female,n,0,2012,NULL,에이오에이,"K=AOA_(band),F=OfficialAOA,T=official_aoa,V=FEA11,VS=9,I=aoa.8",NULL,607,NULL,0,none,223475,,"a:12:{s:13:"ANGELS` STORY";a:2:{s:7:"2012-08";i:936;s:7:"2013-11";i:730;}s:8:"WANNA BE";a:2:{s:7:"2012-10";i:2692;s:7:"2013-11";i:544;}s:4:"MOYA";a:1:{s:7:"2013-07";i:2596;}s:10:"RED MOTION";a:1:{s:7:"2013-10";i:3136;}s:13:"짧은 치마";a:9:{s:7:"2014-01";i:4611;s:7:"2014-02";i:2712;s:7:"2014-03";i:595;s:7:"2014-06";i:330;s:7:"2014-07";i:433;s:7:"2014-08";i:498;s:7:"2015-01";i:375;s:7:"2015-02";i:331;s:7:"2015-07";i:313;}s:12:"단발머리";a:9:{s:7:"2014-06";i:8885;s:7:"2014-07";i:3332;s:7:"2014-08";i:943;s:7:"2014-09";i:631;i:2014;i:14869;s:7:"2015-01";i:350;s:7:"2015-06";i:277;s:7:"2015-07";i:381;s:7:"2015-08";i:340;}s:12:"사뿐사뿐";a:14:{s:7:"2014-11";i:16631;s:7:"2014-12";i:3843;i:2014;i:20179;s:7:"2015-01";i:881;s:7:"2015-02";i:836;s:7:"2015-03";i:1136;s:7:"2015-04";i:519;s:7:"2015-06";i:441;s:7:"2015-07";i:644;s:7:"2015-08";i:570;s:7:"2015-09";i:374;s:7:"2015-10";i:545;s:7:"2016-01";i:441;s:7:"2016-02";i:479;}s:12:"HEART ATTACK";a:13:{s:7:"2015-06";i:25271;s:7:"2015-07";i:9059;s:7:"2015-08";i:1941;s:7:"2015-09";i:1181;s:7:"2015-10";i:934;s:7:"2015-11";i:774;s:7:"2015-12";i:3235;i:2015;i:42164;s:7:"2016-01";i:1115;s:7:"2016-02";i:1532;s:7:"2016-03";i:732;s:7:"2016-04";i:546;s:7:"2016-05";i:572;}s:9:"GOOD LUCK";a:3:{s:7:"2016-05";i:38924;s:7:"2016-06";i:2224;i:2016;i:40282;}s:27:"AOA 1ST ALBUM ANGEL`S KNOCK";a:3:{s:7:"2017-01";i:32668;s:7:"2017-02";i:987;i:2017;i:35013;}s:13:"BINGLE BANGLE";a:2:{s:7:"2018-05";i:14343;s:7:"2018-06";i:7529;}s:8:"NEW MOON";a:2:{s:7:"2019-11";i:12509;s:7:"2019-12";i:3044;}}",161341,"a:37:{s:7:"2012-08";i:936;s:7:"2013-11";i:1274;s:7:"2012-10";i:2692;s:7:"2013-07";i:2596;s:7:"2013-10";i:3136;s:7:"2014-01";i:4611;s:7:"2014-02";i:2712;s:7:"2014-03";i:595;s:7:"2014-06";i:9215;s:7:"2014-07";i:3765;s:7:"2014-08";i:1441;s:7:"2015-01";i:1606;s:7:"2015-02";i:1167;s:7:"2015-07";i:10397;s:7:"2014-09";i:631;s:7:"2015-06";i:25989;s:7:"2015-08";i:2851;s:7:"2014-11";i:16631;s:7:"2014-12";i:3843;s:7:"2015-03";i:1136;s:7:"2015-04";i:519;s:7:"2015-09";i:1555;s:7:"2015-10";i:1479;s:7:"2016-01";i:1556;s:7:"2016-02";i:2011;s:7:"2015-11";i:774;s:7:"2015-12";i:3235;s:7:"2016-03";i:732;s:7:"2016-04";i:546;s:7:"2016-05";i:39496;s:7:"2016-06";i:2224;s:7:"2017-01";i:32668;s:7:"2017-02";i:987;s:7:"2018-05";i:14343;s:7:"2018-06";i:7529;s:7:"2019-11";i:12509;s:7:"2019-12";i:3044;}"
17,"AOA CREAM",female,n,16,2016,NULL,NULL,NULL,NULL,1491,NULL,0,none,0,,NULL,20156,a:0:{}
